Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AM,1939,3,33063,,,,,,,,,,,,,,,,,
AM,1946,50,33063,,,,,,,,,,,,,,,,,
AM,1947,3,33063,,,,,,,,,,,,,,,,,
AM,1948,27,33063,,,,,,,,,,,,,,,,,
AM,1949,7,33063,,,,,,,,,,,,,,,,,
AM,1950,3,33063,,,,,,,,,,,,,,,,,
AM,1951,3,33063,,,,,,,,,,,,,,,,,
AM,1952,2,33063,,,,,,,,,,,,,,,,,
AM,1954,17,33063,,,,,,,,,,,,,,,,,
AM,1955,68,33063,,,,,,,,,,,,,,,,,
AM,1957,1,33063,,,,,,,,,,,,,,,,,
AM,1958,1,33063,,,,,,,,,,,,,,,,,
AM,1959,1,33063,,,,,,,,,,,,,,,,,
AM,1960,11,33063,,,,,,,,,,,,,,,,,
AM,1961,15,33063,,,,,,,,,,,,,,,,,
AM,1962,5,33063,,,,,,,,,,,,,,,,,
AM,1964,8,33063,,,,,,,,,,,,,,,,,
AM,1965,7,33063,,,,,,,,,,,,,,,,,
AM,1967,1,33063,,,,,,,,,,,,,,,,,
AM,1969,147,33063,,,,,,,,,,,,,,,,,
AM,1970,3,33063,,,,,,,,,,,,,,,,,
AM,1971,34,33063,,,,,,,,,,,,,,,,,
AM,1972,4,33063,,,,,,,,,,,,,,,,,
AM,1973,146,33063,,,,,,,,,,,,,,,,,
AM,1974,25,33063,,,,,,,,,,,,,,,,,
AM,1975,134,33063,,,,,,,,,,,,,,,,,
AM,1976,1,33063,,,,,,,,,,,,,,,,,
AM,1977,24,33063,,,,,,,,,,,,,,,,,
AM,1978,1,33063,,,,,,,,,,,,,,,,,
AM,1979,28,33063,,,,,,,,,,,,,,,,,
AM,1980,682,33063,,,,,,,,,,,,,,,,,
AM,1981,144,33063,,,,,,,,,,,,,,,,,
AM,1982,8,33063,,,,,,,,,,,,,,,,,
AM,1983,21,33063,,,,,,,,,,,,,,,,,
AM,1984,51,33063,,,,,,,,,,,,,,,,,
AM,1985,9,33063,,,,,,,,,,,,,,,,,
AM,1986,10,33063,,,,,,,,,,,,,,,,,
AM,1988,4,33063,,,,,,,,,,,,,,,,,
AM,1989,11,33063,,,,,,,,,,,,,,,,,
AM,1990,13,33063,,,,,,,,,,,,,,,,,
AM,1991,1,33063,,,,,,,,,,,,,,,,,
AM,1994,22,33063,,,,,,,,,,,,,,,,,
AM,1997,214,33063,,,,,,,,,,,,,,,,,
AM,2007,5,33063,,,,,,,,,,,,,,,,,
AM,2012,22,33063,,,,,,,,,,,,,,,,,
AM,2013,1,33063,,,,,,,,,,,,,,,,,
AM,2014,59,33063,,,,,,,,,,,,,,,,,
AM,1753,3,33063,,,,,,,,,,,,,,,,,
AM,1801,1,33063,,,,,,,,,,,,,,,,,
AM,1814,5,33063,,,,,,,,,,,,,,,,,
AM,1825,2,33063,,,,,,,,,,,,,,,,,
AM,1828,16,33063,,,,,,,,,,,,,,,,,
AM,1838,1,33063,,,,,,,,,,,,,,,,,
AM,1840,27,33063,,,,,,,,,,,,,,,,,
AM,1842,7,33063,,,,,,,,,,,,,,,,,
AM,1843,1,33063,,,,,,,,,,,,,,,,,
AM,1844,1,33063,,,,,,,,,,,,,,,,,
AM,1845,20,33063,,,,,,,,,,,,,,,,,
AM,1846,5,33063,,,,,,,,,,,,,,,,,
AM,1847,5,33063,,,,,,,,,,,,,,,,,
AM,1849,18,33063,,,,,,,,,,,,,,,,,
AM,1851,4,33063,,,,,,,,,,,,,,,,,
AM,1853,4,33063,,,,,,,,,,,,,,,,,
AM,1855,54,33063,,,,,,,,,,,,,,,,,
AM,1857,2,33063,,,,,,,,,,,,,,,,,
AM,1858,64,33063,,,,,,,,,,,,,,,,,
AM,1859,20,33063,,,,,,,,,,,,,,,,,
AM,1860,79,33063,,,,,,,,,,,,,,,,,
AM,1862,34,33063,,,,,,,,,,,,,,,,,
AM,1863,21,33063,,,,,,,,,,,,,,,,,
AM,1865,9,33063,,,,,,,,,,,,,,,,,
AM,1866,7,33063,,,,,,,,,,,,,,,,,
AM,1867,3,33063,,,,,,,,,,,,,,,,,
AM,1868,53,33063,,,,,,,,,,,,,,,,,
AM,1869,91,33063,,,,,,,,,,,,,,,,,
AM,1870,6,33063,,,,,,,,,,,,,,,,,
